well,Date,subsidence,tds,gwr_elev
895,1/15/18,22.53,,
895,1/14/18,33.37,,
895,1/13/18,31.21,,
895,1/12/18,31.35,,
895,1/11/18,29.46,,
895,1/10/18,37.51,,
895,1/9/18,18.16,,
895,1/8/18,32.66,,
895,1/7/18,36.07,,
895,1/6/18,35.5,,
895,1/5/18,36,,
895,1/4/18,34.73,,
895,1/3/18,34.31,,
895,1/2/18,39.1,,
895,1/1/18,35.05,,
895,12/31/17,36.73,,
895,12/30/17,37.11,,
895,12/29/17,39.36,,
895,12/28/17,33.23,,
895,12/27/17,35.25,,
895,12/26/17,33.44,,
895,12/25/17,33.21,,
895,12/24/17,34.23,,
895,12/23/17,31.49,,
895,12/22/17,32.34,,
895,12/21/17,33.84,,
895,12/20/17,33.51,,
895,12/19/17,31.77,,
895,12/18/17,28.08,,
895,12/17/17,31.81,,
895,12/16/17,34.09,,
895,12/15/17,33.66,,
895,12/14/17,32.54,,
895,12/13/17,31.02,,
895,12/12/17,29.32,,
895,12/11/17,29.25,,
895,12/10/17,27.09,,
895,12/9/17,27.63,,
895,12/8/17,26.43,,
895,12/7/17,20.39,,
895,12/6/17,24.61,,
895,12/5/17,29.86,,
895,12/4/17,31.93,,
895,12/3/17,34.15,,
895,12/2/17,31.51,,
895,12/1/17,29.62,,
895,11/30/17,32.04,,
895,11/29/17,31.5,,
895,11/28/17,28.49,,
895,11/27/17,36.2,,
895,11/26/17,27.77,,
895,11/25/17,27.11,,
895,11/24/17,28.62,,
895,11/23/17,23.76,,
895,11/22/17,26.74,,
895,11/21/17,29.81,,
895,11/20/17,32.48,,
895,11/19/17,26.59,,
895,11/18/17,30.76,,
895,11/17/17,32.36,,
895,11/16/17,34.08,,
895,11/15/17,27.41,,
895,11/14/17,29.89,,
895,11/13/17,30.48,,
895,11/12/17,29.91,,
895,11/11/17,32.88,,
895,11/10/17,27.2,,
895,11/9/17,25.76,,
895,11/8/17,20.18,,
895,11/7/17,24.15,,
895,11/6/17,28.37,,
895,11/5/17,32.62,,
895,11/4/17,29.67,,
895,11/3/17,26.86,,
895,11/2/17,26.84,,
895,11/1/17,31.4,,
895,10/31/17,28.21,,
895,10/30/17,29.37,,
895,10/29/17,29.74,,
895,10/28/17,29.07,,
895,10/27/17,27.34,,
895,10/26/17,32.38,,
895,10/25/17,32.7,,
895,10/24/17,23.33,,
895,10/23/17,27.54,,
895,10/22/17,27.88,,
895,10/21/17,35.84,,
895,10/20/17,41.88,,
895,10/19/17,37.34,,
895,10/18/17,34.63,,
895,10/17/17,33.54,,
895,10/16/17,31.04,,
895,10/15/17,31.84,,
895,10/14/17,35.61,,
895,10/13/17,27.86,,
895,10/12/17,33.59,,
895,10/11/17,35.47,,
895,10/10/17,35.94,,
895,10/9/17,36.55,,
895,10/8/17,38.52,,
895,10/7/17,36.41,,
895,10/6/17,36.68,,
895,10/5/17,33.35,,
895,10/4/17,31.55,,
895,10/3/17,29.71,,
895,10/2/17,36.77,,
895,10/1/17,32.13,,
895,9/30/17,32.87,,
895,9/29/17,31.97,,
895,9/28/17,27.94,,
895,9/27/17,31.62,,
895,9/26/17,34.37,,
895,9/25/17,35.4,,
895,9/24/17,38.82,,
895,9/23/17,38.72,,
895,9/22/17,36.67,,
895,9/21/17,37.18,,
895,9/20/17,33.68,,
895,9/19/17,39.23,,
895,9/18/17,39.67,,
895,9/17/17,33.38,,
895,9/16/17,38,,
895,9/15/17,33.15,,
895,9/14/17,33.93,,
895,9/13/17,47.5,,
895,9/12/17,29.46,,
895,9/11/17,39.7,,
895,9/10/17,36.58,,
895,9/9/17,34.86,,
895,9/8/17,28.83,,
895,9/7/17,28.29,,
895,9/6/17,31.15,,
895,9/5/17,37.21,,
