Site Name,Latitude,Longitude,Date,NO3,,,
OPTI Well #101,34.85638889,-119.4846667,2008-09-25,2.1,,,
OPTI Well #102,34.9647222,-119.70475,2011-08-15,5.59,,,
OPTI Well #102,34.9647222,-119.70475,2012-07-17,4.96,,,
OPTI Well #102,34.9647222,-119.70475,2013-07-18,4.92,,,
OPTI Well #102,34.9647222,-119.70475,2014-07-24,4.79,,,
OPTI Well #102,34.9647222,-119.70475,2015-07-23,4.51,,,
OPTI Well #102,34.9647222,-119.70475,2016-07-13,4.35,,,
OPTI Well #102,34.9647222,-119.70475,2017-07-13,3.98,,,
OPTI Well #11,34.7066499,-119.3784517,1964-09-28,0,,,
OPTI Well #11,34.7066499,-119.3784517,1965-09-28,0,,,
OPTI Well #11,34.7066499,-119.3784517,1967-10-30,0,,,
OPTI Well #11,34.7066499,-119.3784517,1957-09-27,0.791,,,
OPTI Well #11,34.7066499,-119.3784517,1957-09-27,0.79065,,,
OPTI Well #11,34.7066499,-119.3784517,1957-09-27,0.791,,,
OPTI Well #11,34.7066499,-119.3784517,1958-05-26,0.113,,,
OPTI Well #11,34.7066499,-119.3784517,1958-05-26,0.11295,,,
OPTI Well #11,34.7066499,-119.3784517,1958-05-26,0.113,,,
OPTI Well #11,34.7066499,-119.3784517,1959-09-10,0,,,
OPTI Well #11,34.7066499,-119.3784517,1960-07-06,0,,,
OPTI Well #11,34.7066499,-119.3784517,1960-10-11,0.113,,,
OPTI Well #11,34.7066499,-119.3784517,1960-10-11,0.11295,,,
OPTI Well #11,34.7066499,-119.3784517,1960-10-11,0.113,,,
OPTI Well #11,34.7066499,-119.3784517,1962-09-25,0,,,
OPTI Well #11,34.7066499,-119.3784517,1963-04-25,0.565,,,
OPTI Well #11,34.7066499,-119.3784517,1963-04-25,0.56475,,,
OPTI Well #11,34.7066499,-119.3784517,1963-04-25,0.565,,,
OPTI Well #110,34.97664385,-119.7940239,1966-04-07,0,,,
OPTI Well #114,34.9783102,-119.748189,1966-04-06,0.226,,,
OPTI Well #114,34.9783102,-119.748189,1966-04-06,0.2259,,,
OPTI Well #114,34.9783102,-119.748189,1966-04-06,0.226,,,
OPTI Well #114,34.9783102,-119.748189,1966-09-23,0.181,,,
OPTI Well #114,34.9783102,-119.748189,1966-09-23,0.18072,,,
OPTI Well #114,34.9783102,-119.748189,1966-09-23,0.181,,,
OPTI Well #119,35.0433086,-119.8729138,1966-04-05,0,,,
OPTI Well #121,35.003978,-119.847619,1966-03-11,1.4,,,
OPTI Well #121,35.003978,-119.847619,1966-03-11,1.40058,,,
OPTI Well #13,34.78192435,-119.338172,1974-05-17,4.518,,,
OPTI Well #13,34.78192435,-119.338172,1977-05-04,4.2921,,,
OPTI Well #137,34.6883172,-119.3503948,1977-04-15,0,,,
OPTI Well #137,34.6883172,-119.3503948,1977-10-18,0.136,,,
OPTI Well #137,34.6883172,-119.3503948,1965-03-01,0,,,
OPTI Well #137,34.6883172,-119.3503948,1966-10-24,0.023,,,
OPTI Well #137,34.6883172,-119.3503948,1967-05-12,0.181,,,
OPTI Well #137,34.6883172,-119.3503948,1967-10-30,0,,,
OPTI Well #137,34.6883172,-119.3503948,1968-04-25,0,,,
OPTI Well #137,34.6883172,-119.3503948,1968-09-23,0.11295,,,
OPTI Well #137,34.6883172,-119.3503948,1969-05-19,3.27555,,,
OPTI Well #137,34.6883172,-119.3503948,1969-10-03,0.15813,,,
OPTI Well #137,34.6883172,-119.3503948,1970-03-23,1.3554,,,
OPTI Well #137,34.6883172,-119.3503948,1970-03-23,1.36,,,
OPTI Well #137,34.6883172,-119.3503948,1970-09-15,0,,,
OPTI Well #137,34.6883172,-119.3503948,1971-03-22,0,,,
OPTI Well #137,34.6883172,-119.3503948,1971-09-22,0,,,
OPTI Well #137,34.6883172,-119.3503948,1972-03-13,0.74547,,,
OPTI Well #137,34.6883172,-119.3503948,1972-03-13,0.745,,,
OPTI Well #137,34.6883172,-119.3503948,1972-04-19,1.3554,,,
OPTI Well #137,34.6883172,-119.3503948,1972-11-03,0.09036,,,
OPTI Well #137,34.6883172,-119.3503948,1972-11-03,0.09,,,
OPTI Well #137,34.6883172,-119.3503948,1973-10-18,0.18072,,,
OPTI Well #137,34.6883172,-119.3503948,1973-10-18,0.181,,,
OPTI Well #137,34.6883172,-119.3503948,1974-05-29,0.271,,,
OPTI Well #137,34.6883172,-119.3503948,1974-10-25,0,,,
OPTI Well #137,34.6883172,-119.3503948,1975-05-13,0,,,
OPTI Well #142,34.69303924,-119.3537283,1966-10-24,0.407,,,
OPTI Well #142,34.69303924,-119.3537283,1970-03-23,14.5,,,
OPTI Well #142,34.69303924,-119.3537283,1970-09-15,0.226,,,
OPTI Well #142,34.69303924,-119.3537283,1971-03-22,12.2,,,
OPTI Well #142,34.69303924,-119.3537283,1971-09-22,14.2,,,
OPTI Well #142,34.69303924,-119.3537283,1972-03-13,10.4,,,
OPTI Well #142,34.69303924,-119.3537283,1972-11-03,10.8,,,
OPTI Well #142,34.69303924,-119.3537283,1973-05-23,0.361,,,
OPTI Well #151,34.6952611,-119.2976146,1974-05-29,0.113,,,
OPTI Well #151,34.6952611,-119.2976146,1967-10-30,0.452,,,
OPTI Well #151,34.6952611,-119.2976146,1967-10-30,0.4518,,,
OPTI Well #151,34.6952611,-119.2976146,1967-10-30,0.452,,,
OPTI Well #151,34.6952611,-119.2976146,1970-03-23,0.113,,,
OPTI Well #151,34.6952611,-119.2976146,1970-03-23,0.11295,,,
OPTI Well #151,34.6952611,-119.2976146,1970-03-23,0.113,,,
OPTI Well #151,34.6952611,-119.2976146,1970-09-15,0.452,,,
OPTI Well #151,34.6952611,-119.2976146,1970-09-15,0.4518,,,
OPTI Well #151,34.6952611,-119.2976146,1970-09-15,0.452,,,
OPTI Well #151,34.6952611,-119.2976146,1971-03-22,0,,,
OPTI Well #151,34.6952611,-119.2976146,1971-09-22,0,,,
OPTI Well #151,34.6952611,-119.2976146,1972-03-13,0,,,
OPTI Well #151,34.6952611,-119.2976146,1973-05-23,0.407,,,
OPTI Well #151,34.6952611,-119.2976146,1973-05-23,0.40662,,,
OPTI Well #151,34.6952611,-119.2976146,1973-05-23,0.407,,,
OPTI Well #151,34.6952611,-119.2976146,1974-05-29,0.113,,,
OPTI Well #151,34.6952611,-119.2976146,1974-05-29,0.11295,,,
OPTI Well #152,34.69527778,-119.3213889,2008-04-23,0.15,,,
OPTI Well #155,34.69553914,-119.3545617,1972-04-19,6.3252,,,
OPTI Well #155,34.69553914,-119.3545617,1977-06-23,7.9065,,,
OPTI Well #156,34.69638889,-119.321111,2008-04-09,0.05,,,
OPTI Well #164,34.69970549,-119.3228936,1967-10-30,0.4518,,,
OPTI Well #164,34.69970549,-119.3228936,1967-10-30,0.452,,,
OPTI Well #164,34.69970549,-119.3228936,1969-09-23,0.51957,,,
OPTI Well #164,34.69970549,-119.3228936,1970-09-15,0.56475,,,
OPTI Well #164,34.69970549,-119.3228936,1970-09-15,0.565,,,
OPTI Well #164,34.69970549,-119.3228936,1972-03-14,0,,,
OPTI Well #164,34.69970549,-119.3228936,1972-05-17,0,,,
OPTI Well #164,34.69970549,-119.3228936,1973-05-23,1.3554,,,
OPTI Well #165,34.70470527,-119.3215046,1965-03-02,1.1295,,,
OPTI Well #165,34.70470527,-119.3215046,1972-04-26,2.4849,,,
OPTI Well #17,34.8178611,-119.4595,1965-03-28,0,,,
OPTI Well #171,34.7091498,-119.3787295,1976-05-12,0,,,
OPTI Well #171,34.7091498,-119.3787295,1972-05-23,0,,,
OPTI Well #175,34.72053818,-119.3692847,1977-06-23,0.2259,,,
OPTI Well #18,34.98997666,-119.775412,1966-04-06,0.452,,,
OPTI Well #18,34.98997666,-119.775412,1966-04-06,0.4518,,,
OPTI Well #18,34.98997666,-119.775412,1966-04-06,0.452,,,
OPTI Well #182,34.7297045,-119.3765072,1967-11-02,1.81,,,
OPTI Well #182,34.7297045,-119.3765072,1967-11-02,1.8072,,,
OPTI Well #182,34.7297045,-119.3765072,1967-11-02,1.81,,,
OPTI Well #188,34.75025938,-119.4101199,1972-04-27,4.2921,,,
OPTI Well #188,34.75025938,-119.4101199,1976-07-26,0,,,
OPTI Well #19,35.02969785,-119.848469,1966-04-05,0.565,,,
OPTI Well #19,35.02969785,-119.848469,1966-04-05,0.56475,,,
OPTI Well #19,35.02969785,-119.848469,1966-04-05,0.565,,,
OPTI Well #190,34.75359265,-119.4278985,1965-03-02,0.9036,,,
OPTI Well #190,34.75359265,-119.4278985,1965-03-02,0.904,,,
OPTI Well #191,34.7708141,-119.430954,1968-09-23,0.226,,,
OPTI Well #191,34.7708141,-119.430954,1969-10-03,0.339,,,
OPTI Well #191,34.7708141,-119.430954,1969-10-03,0.33885,,,
OPTI Well #191,34.7708141,-119.430954,1969-10-03,0.339,,,
OPTI Well #191,34.7708141,-119.430954,1970-03-23,0.31626,,,
OPTI Well #191,34.7708141,-119.430954,1970-03-23,0.316,,,
OPTI Well #191,34.7708141,-119.430954,1970-09-15,0.27108,,,
OPTI Well #191,34.7708141,-119.430954,1970-09-15,0.271,,,
OPTI Well #191,34.7708141,-119.430954,1971-03-22,0,,,
OPTI Well #191,34.7708141,-119.430954,1971-09-22,0.226,,,
OPTI Well #191,34.7708141,-119.430954,1971-09-22,0.2259,,,
OPTI Well #191,34.7708141,-119.430954,1971-09-22,0.226,,,
OPTI Well #191,34.7708141,-119.430954,1972-03-13,0.226,,,
OPTI Well #191,34.7708141,-119.430954,1972-03-13,0.2259,,,
OPTI Well #191,34.7708141,-119.430954,1972-03-13,0.226,,,
OPTI Well #191,34.7708141,-119.430954,1973-05-23,0.678,,,
OPTI Well #191,34.7708141,-119.430954,1973-05-23,0.6777,,,
OPTI Well #191,34.7708141,-119.430954,1973-05-23,0.678,,,
OPTI Well #191,34.7708141,-119.430954,1974-05-29,0.678,,,
OPTI Well #191,34.7708141,-119.430954,1974-05-29,0.6777,,,
OPTI Well #191,34.7708141,-119.430954,1974-05-29,0.678,,,
OPTI Well #191,34.7708141,-119.430954,1977-10-18,0.74547,,,
OPTI Well #191,34.7708141,-119.430954,1977-10-18,0.745,,,
OPTI Well #191,34.7708141,-119.430954,1967-10-30,0.452,,,
OPTI Well #191,34.7708141,-119.430954,1967-10-30,0.4518,,,
OPTI Well #191,34.7708141,-119.430954,1967-10-30,0.452,,,
OPTI Well #191,34.7708141,-119.430954,1968-09-23,0.226,,,
OPTI Well #191,34.7708141,-119.430954,1968-09-23,0.2259,,,
OPTI Well #198,34.79025767,-119.4201202,1967-11-02,0.452,,,
OPTI Well #198,34.79025767,-119.4201202,1967-11-02,0.4518,,,
OPTI Well #198,34.79025767,-119.4201202,1967-11-02,0.452,,,
OPTI Well #20,35.01497609,-119.8354135,1966-03-11,0,,,
OPTI Well #204,34.79444444,-119.38,2011-08-18,0.890046,,,
OPTI Well #204,34.79444444,-119.38,2011-08-18,0.89,,,
OPTI Well #206,34.79581306,-119.4373431,1965-03-02,0,,,
OPTI Well #21,34.9458065,-119.455954,1966-05-05,22.8,,,
OPTI Well #21,34.9458065,-119.455954,1966-05-05,22.59,,,
OPTI Well #21,34.9458065,-119.455954,1966-05-05,22.8,,,
OPTI Well #213,34.8072222,-119.4538333,1966-07-14,1.1295,,,
OPTI Well #213,34.8072222,-119.4538333,1966-07-14,1.13,,,
OPTI Well #216,34.80805556,-119.4489722,1972-04-28,0,,,
OPTI Well #216,34.80805556,-119.4489722,1978-06-08,1.8072,,,
OPTI Well #218,34.80859035,-119.4570662,1965-03-02,0,,,
OPTI Well #219,34.8091458,-119.44401,1972-04-28,2.9367,,,
OPTI Well #219,34.8091458,-119.44401,1977-06-24,0,,,
OPTI Well #22,34.93636249,-119.465399,1966-05-05,8.5842,,,
OPTI Well #22,34.93636249,-119.465399,1966-05-05,8.58,,,
OPTI Well #226,34.8165,-119.469,2011-08-18,1.72136,,,
OPTI Well #226,34.8165,-119.469,2011-08-18,1.72,,,
OPTI Well #227,34.81664649,-119.5570705,1966-07-01,0.248,,,
OPTI Well #227,34.81664649,-119.5570705,2011-08-17,0.155,,,
OPTI Well #239,34.8210897,-119.439843,1966-06-16,0.38403,,,
OPTI Well #239,34.8210897,-119.439843,1966-06-16,0.384,,,
OPTI Well #239,34.8210897,-119.439843,1972-04-28,7.4547,,,
OPTI Well #239,34.8210897,-119.439843,1977-06-24,1.8072,,,
OPTI Well #239,34.8210897,-119.439843,1978-06-08,1.8072,,,
OPTI Well #242,34.82641667,-119.4654444,2012-07-18,18.0268,,,
OPTI Well #242,34.82641667,-119.4654444,2012-07-18,18,,,
OPTI Well #249,34.82997835,-119.471511,1966-06-30,0.452,,,
OPTI Well #251,34.8319223,-119.3615062,1966-06-16,6.78,,,
OPTI Well #259,34.83803316,-119.3645619,1966-06-16,1.24,,,
OPTI Well #26,34.93441946,-119.5676257,1964-04-27,0.949,,,
OPTI Well #26,34.93441946,-119.5676257,1975-05-16,2.03,,,
OPTI Well #26,34.93441946,-119.5676257,1964-04-27,0.94878,,,
OPTI Well #26,34.93441946,-119.5676257,1978-09-28,1.49094,,,
OPTI Well #26,34.93441946,-119.5676257,1964-04-27,0.949,,,
OPTI Well #26,34.93441946,-119.5676257,1964-09-28,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1964-09-28,0.9036,,,
OPTI Well #26,34.93441946,-119.5676257,1964-09-28,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1965-04-27,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1965-04-27,0.9036,,,
OPTI Well #26,34.93441946,-119.5676257,1965-04-27,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1965-09-28,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1965-09-28,0.9036,,,
OPTI Well #26,34.93441946,-119.5676257,1965-09-28,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1966-04-26,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1966-04-26,0.9036,,,
OPTI Well #26,34.93441946,-119.5676257,1953-08-06,5.8734,,,
OPTI Well #26,34.93441946,-119.5676257,1966-04-26,0.904,,,
OPTI Well #26,34.93441946,-119.5676257,1953-08-06,5.87,,,
OPTI Well #26,34.93441946,-119.5676257,1966-10-26,1.08432,,,
OPTI Well #26,34.93441946,-119.5676257,1958-12-17,3.1626,,,
OPTI Well #26,34.93441946,-119.5676257,1966-10-26,1.08,,,
OPTI Well #26,34.93441946,-119.5676257,1958-12-17,3.16,,,
OPTI Well #26,34.93441946,-119.5676257,1967-05-12,1.5813,,,
OPTI Well #26,34.93441946,-119.5676257,1959-10-06,2.26,,,
OPTI Well #26,34.93441946,-119.5676257,1967-05-12,1.58,,,
OPTI Well #26,34.93441946,-119.5676257,1959-10-06,2.259,,,
OPTI Well #26,34.93441946,-119.5676257,1968-04-25,2.0331,,,
OPTI Well #26,34.93441946,-119.5676257,1959-10-06,2.26,,,
OPTI Well #26,34.93441946,-119.5676257,1968-04-25,2.03,,,
